specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec,match_status,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS
2245167349177018368,0.02272662,193.26224,32.107013,1237665226771660826,16.25259,14.65767,13.97438,13.61561,13.38846,CFIS_LSB.328.244.r,193.38525815138385,32.0,Matched,26054.0,7019.0625,7074.4355,193.2622581,32.1069862,13.9119,0.0002,13.9119,0.0002,15.2098,0.0002,0.002358952,8.217903e-07,0.00175966,6.246632e-07,-68.01,-68.01,60571.0,16.6524,33.64,2.0
2245172571857250304,0.02330359,193.46877,32.24168,1237665330392334463,16.20728,14.38906,13.5625,13.13836,12.82951,CFIS_LSB.328.244.r,193.38525815138385,32.0,Matched,37142.0,3630.1565,9684.2412,193.4688311,32.2416889,13.3916,0.0002,13.3916,0.0002,14.6835,0.0002,0.002945691,1.034355e-06,0.002262912,8.029958e-07,74.84,74.46,125195.0,16.5629,31.834,26.0
2245173946246785024,0.02184059,193.26529,32.326786,1237665330392268826,16.80383,15.89123,15.6195,15.51176,15.54783,CFIS_LSB.326.245.r,193.26731473176807,32.5,Matched,6368.0,5031.2026,1645.0868,193.2654093,32.3268791,15.4697,0.0008,15.4421,0.0007,16.9945,0.0006,0.001889993,1.828721e-06,0.001441194,1.369582e-06,42.39,48.83,26861.0,19.5925,29.473,3.0
2245176695025854464,0.02283247,193.89378,32.20597,1237665330392531020,17.10139,15.46672,14.6913,14.29939,14.05397,CFIS_LSB.329.244.r,193.9748473530649,32.0,Matched,37609.0,6329.2891,8991.375,193.8937802,32.2059376,14.4874,0.0004,14.4874,0.0004,15.588,0.0003,0.002479525,1.657639e-06,0.001804638,1.22676e-06,-50.91,-48.52,68272.0,17.1775,25.595,2.0
2245191813310736384,0.0232967,194.26204,31.62554,1237665226235183183,17.17945,15.7849,15.19144,14.86892,14.5958,CFIS_LSB.331.243.r,194.1029837896185,31.5,Matched,29488.0,2377.2363,7436.4541,194.2619285,31.6256281,15.1122,0.0004,15.1122,0.0004,16.1436,0.0003,0.001552533,9.372948e-07,0.000738378,5.915645e-07,-71.35,-69.25,20084.0,18.2429,20.863,2.0
2245198960136316928,0.02266912,194.93887,32.045019,1237665226772250731,15.68029,14.55492,14.08857,13.82893,13.6205,CFIS_LSB.331.244.r,195.15402575642696,32.0,Matched,21642.0,8533.1016,5875.4697,194.9389373,32.0449947,14.0154,0.0004,14.0154,0.0004,16.3713,0.0005,0.00261555,9.448848e-07,0.002447154,8.943562e-07,-59.71,35.49,63712.0,17.9038,56.297,2.0
2245203358182828032,0.02656442,194.54193,32.016518,1237665226772119649,16.26659,14.93445,14.30188,13.97119,13.71368,CFIS_LSB.330.244.r,194.56443655474592,32.0,Matched,21796.0,5369.5518,5319.7534,194.5419459,32.016498,14.2215,0.0002,14.2215,0.0002,15.8707,0.0003,0.002138859,7.867254e-07,0.001023732,3.987888e-07,-27.54,-28.92,34843.0,17.8727,33.172,0.0
2250678645473437696,0.02473385,185.56516,33.331641,1237665227842519087,17.22316,15.73537,14.97678,14.58995,14.31732,CFIS_LSB.309.247.r,185.27716374527265,33.5,Matched,4953.0,337.4191,1744.09,185.5651313,33.3316557,14.9061,0.0004,14.9061,0.0004,15.7244,0.0003,0.001269567,7.64129e-07,0.001138959,7.002824e-07,48.16,33.73,21603.0,16.8956,18.168,0.0
2250702010095527936,0.02158868,185.06548,33.660809,1237665228379193489,17.95971,15.00156,14.27094,13.85643,13.58842,CFIS_LSB.309.247.r,185.27716374527265,33.5,Matched,30736.0,8413.6367,8120.0815,185.0655291,33.6608228,14.2373,0.0006,14.2373,0.0006,16.562,0.0007,0.003891216,2.457635e-06,0.002644902,1.542271e-06,39.05,26.56,94634.0,19.223,63.57,50.0
2250724550083897344,0.02257934,184.16163,33.560897,1237665228378865701,15.57528,13.90721,13.11758,12.73646,12.51948,CFIS_LSB.307.247.r,184.0779588019376,33.5,Matched,21446.0,3649.2012,6179.4292,184.1616074,33.5608332,13.0382,0.0002,13.0382,0.0002,14.5549,0.0001,0.005359706,1.860212e-06,0.002755979,7.506777e-07,17.89,19.13,208811.0,16.6255,49.894,50.0
2250840273682720768,0.0252055,185.59048,35.15457,1237665128544141438,16.39772,15.2915,14.76354,14.45286,14.21768,CFIS_LSB.304.250.r,185.5577374917413,35.0,Matched,30257.0,4483.5112,7992.2568,185.5903351,35.1544027,14.655,0.0004,14.655,0.0004,16.2336,0.0004,0.002705625,1.366091e-06,0.0008780825,4.570696e-07,54.57,54.27,32933.0,18.4515,33.197,18.0
2255233096490182656,0.02520451,185.59048,35.15457,1237665128544141438,16.39772,15.2915,14.76354,14.45286,14.21768,CFIS_LSB.304.250.r,185.5577374917413,35.0,Matched,30257.0,4483.5112,7992.2568,185.5903351,35.1544027,14.655,0.0004,14.655,0.0004,16.2336,0.0004,0.002705625,1.366091e-06,0.0008780825,4.570696e-07,54.57,54.27,32933.0,18.4515,33.197,18.0
2256360650613745664,0.02241727,182.73441,31.657588,1237665329314660360,16.60176,15.03887,14.29944,13.91223,13.64572,CFIS_LSB.312.243.r,182.9611206717854,31.5,Matched,28702.0,8740.0029,8053.8076,182.7343922,31.6573828,14.1398,0.0002,14.1398,0.0002,15.7859,0.0002,0.002471216,9.292506e-07,0.001391525,5.619206e-07,1.82,2.28,48227.0,17.6969,36.757,2.0
2256361750125373440,0.02194935,182.57938,31.550101,1237665225693921343,17.14892,15.55949,14.84924,14.49695,14.22578,CFIS_LSB.311.243.r,182.3747068234784,31.5,Matched,20965.0,1619.1492,5974.6162,182.5794274,31.5501294,14.7551,0.0003,14.7551,0.0003,15.5168,0.0002,0.001545423,1.074708e-06,0.001099899,7.444621e-07,-58.12,-55.71,33947.0,16.9099,16.245,2.0
2256382091090487296,0.02271829,181.87826,31.348099,1237665328777461782,17.06256,15.33961,14.541,14.14948,13.86277,CFIS_LSB.310.243.r,181.7882929751714,31.5,Matched,7173.0,3512.2412,2056.8091,181.878187,31.3480935,14.2154,0.0004,14.2154,0.0004,15.3903,0.0002,0.00354231,2.191157e-06,0.002156427,1.297278e-06,82.6,81.29,105722.0,16.6093,32.235,18.0
2256422498142808064,0.02393564,182.26488,32.668701,1237665330388205630,17.03856,15.30296,14.52589,14.15307,13.86036,CFIS_LSB.307.245.r,182.00326878114367,32.5,Matched,29230.0,732.7688,8274.7969,182.2648462,32.6687154,14.3476,0.0002,14.3476,0.0002,15.0383,0.0002,0.001686136,6.814416e-07,0.0006463337,2.844929e-07,-12.85,-13.66,24652.0,16.6531,14.78,0.0
