targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z
39633255539934067,0.02455663069204604,2.351661870435547e-05,GALAXY,153.8628907043627,50.58751345037559,15.776731,21.809292,17.110302
39633289652208118,0.01864023963744404,2.514650323893664e-05,GALAXY,175.9494788520707,52.7423969610031,14.815759,24.003874,25.705694
39633289652208118,0.0186479411449137,1.420992464071666e-05,GALAXY,175.9494788520707,52.7423969610031,14.815759,24.003874,25.705694
39633289648016372,0.01884577162821625,5.458760071347144e-07,GALAXY,175.8630162449122,52.70876129613804,13.626005,16.243986,12.648891
39633278499555513,0.0265280076542326,8.000742766677201e-06,GALAXY,172.1354184901329,52.09335238890665,14.236311,20.642187,25.935968
39633267229458823,0.02720669120893444,3.988514771085288e-05,GALAXY,173.6706622511502,51.31956504023921,14.835799,29.223892,38.891228
39633263408450643,0.02728104160544321,3.86051926321675e-06,GALAXY,172.4119379370558,50.88720208126885,13.703342,19.79354,24.244848
39633248006963411,0.02567698250090608,1.942500613031571e-05,GALAXY,174.5990456244545,49.91365443933226,13.140363,20.440117,24.543001
39633247990187833,0.0263105783217436,7.738829215309597e-06,GALAXY,173.2279276120521,50.12054485224358,14.5163765,23.789906,28.452703
39633270979169150,0.02627754535532643,4.057607118158357e-06,GALAXY,170.6907376972561,51.41876300613394,15.362445,23.380169,28.938324
39633270979169150,0.02625775368402477,4.84826753445924e-06,GALAXY,170.6907376972561,51.41876300613394,15.362445,23.380169,28.938324
39633263370700608,0.02670591368080798,6.031195063978495e-07,GALAXY,168.7156088159502,50.92913293400112,13.699031,12.231285,10.280599
39633263307786786,0.02593008267910344,1.86644174763208e-05,GALAXY,162.8613295111919,51.00638357706514,14.45925,21.663643,20.22047
39633259490968806,0.02436909138045722,1.071844859849723e-05,GALAXY,163.6166464756035,50.77559279735328,13.292664,19.68663,23.38856
39633255644791487,0.02487244546364643,1.755196910138019e-06,GALAXY,163.6371805641395,50.60130774057296,14.84152,17.889204,19.631752
39633247948245521,0.02795311795340557,1.168836746903181e-06,GALAXY,169.4559449962882,49.97147073084854,15.23913,19.83931,21.640696
39633228209851164,0.02021587557416439,1.860008968982886e-06,GALAXY,169.3372843325274,48.80880077290081,15.791252,20.931385,23.70468
39633243993015819,0.02346321843325631,3.723504237044799e-05,GALAXY,165.1408708424407,49.71116413564597,14.671779,23.05762,27.66697
39633243976238995,0.02217513174458788,2.315940263483034e-05,GALAXY,163.6329074025581,49.64633683354559,13.471508,19.822382,24.598312
39633236103528499,0.02347585511759812,4.337206196451529e-06,GALAXY,163.6056194174205,49.14777252815521,14.836784,22.280462,26.297794
39633178930971322,0.02287496830987735,7.138669132227523e-06,GALAXY,176.4940838089537,45.65257521509003,14.893732,22.558672,27.0061
39633212061779743,0.02462128609840299,6.310738705309874e-06,GALAXY,168.7082935155333,47.68291702334027,15.347141,24.66834,30.28035
39633212045001366,0.02529709484522196,1.58663271967983e-05,GALAXY,167.1127293156817,47.81110494296068,14.888612,25.607347,35.711697
39633199734720036,0.02538253332608993,1.157127967122995e-06,GALAXY,167.3978248558488,46.97934003395248,14.454533,20.93487,25.853798
39633174606645065,0.02486314678243737,1.337719478962534e-05,GALAXY,169.1753784631394,45.58387201395281,15.42178,22.788958,26.206457
39633178800948234,0.02190599145160788,4.043633175158029e-06,GALAXY,165.4465729799155,45.87482736691179,14.169312,19.506197,19.056715
39633263286813474,0.02490188298663345,1.009411166230808e-05,GALAXY,160.7100663746004,50.90931020779973,14.642608,25.428831,34.067703
39633236086751659,0.02733410513651896,3.823418244702068e-06,GALAXY,162.1204553082071,49.35772676583537,13.25451,36.288353,69.755226
39633236082557563,0.0247372892152806,4.124159806047837e-06,GALAXY,161.7717266759844,49.34794920209929,14.317255,20.829622,24.849426
39633216058952357,0.02779345684510016,7.685243656251732e-06,GALAXY,162.7970502360178,48.06127822776718,14.702427,17.595993,17.492788
39633224091042194,0.02681728891682454,1.121457143524699e-05,GALAXY,158.9977399889533,48.47412265979062,13.183765,18.692282,23.332937
39633215991841416,0.0253792297278815,1.255494998144842e-06,GALAXY,156.5840650965535,47.8773356983763,14.589146,22.539072,27.835459
39633203740281065,0.02469959796548353,2.096116470814317e-06,GALAXY,157.1092186447756,47.31198188003433,13.00965,20.328287,25.971758
39633195481695274,0.02470486025738273,5.799684083037425e-06,GALAXY,157.9377374531228,46.67173236678226,15.440014,37.609016,60.309948
39633211902396849,0.02550156229748596,2.555517905331134e-06,GALAXY,154.6330911870456,47.66720563110651,15.55877,21.458498,24.786951
39633195410392568,0.02384002445326968,2.523981448058423e-05,GALAXY,151.7976226553803,46.64568330610813,13.275806,18.522665,22.026194
39633191249643180,0.02437865895632105,2.729025999207503e-05,GALAXY,151.8982429655688,46.39110929524556,13.984932,22.812088,29.128153
39633187072116357,0.0250100045314605,1.418782583105483e-05,GALAXY,152.4898991373373,46.31073344202295,14.943017,23.234285,27.803667
39633165991546026,0.02224718503584753,4.826601474190075e-06,GALAXY,162.6918653196979,45.10906144142375,13.54599,18.360058,20.209438
39633153060504920,0.02166042284348265,2.881316679053437e-06,GALAXY,163.049575242213,44.22643762329103,14.780948,25.607403,31.415678
39633152959844312,0.02317829938424544,3.86231744454298e-06,GALAXY,154.9199878414379,44.29378774286237,15.992075,24.204811,28.95223
39633144252466631,0.02694881146942277,4.477653651905387e-06,GALAXY,156.0012366520465,43.66709815258357,14.432562,20.457933,22.808905
39633247658837688,0.02553009379941212,3.238705276722623e-06,GALAXY,142.5946477417935,50.03531169514579,14.014186,18.883736,21.33969
39633223927464385,0.02446911970141945,1.816839672921897e-06,GALAXY,144.3540933197832,48.51774408031156,15.587085,21.15969,20.562407
39633223919078146,0.02618473282777221,1.304040097651042e-05,GALAXY,143.8286199373582,48.43172777678684,15.295385,20.22556,21.779848
39633223898106346,0.02716126800177786,6.897484572104928e-06,GALAXY,141.9732682393556,48.53255518249062,13.857128,15.011263,7.2033844
39633219892543974,0.02545634469820075,1.634990719908395e-05,GALAXY,143.7516974692099,48.2772727764795,15.295608,21.918894,25.62044
39633203559924452,0.02675244142585385,4.184008023910407e-06,GALAXY,141.1412592641222,47.2246531197262,14.814576,24.031027,31.757711
39633199374011231,0.02731479128714335,4.261879243796712e-06,GALAXY,136.0650988427627,46.99924036869172,13.55729,21.995867,29.68096
39633195230038412,0.02797862554816783,2.211506834388355e-06,GALAXY,136.2082709606233,46.63925633703914,14.67057,20.489511,24.311052
39633178394100696,0.02391068246707224,3.246505906538852e-05,GALAXY,130.8125522814858,45.66010553874432,14.926652,22.488945,28.05392
39633157036706713,0.0191586634615966,2.150437455229361e-06,GALAXY,133.8110428680312,44.5927509557281,13.924851,20.015093,25.34313
39633148224472085,0.02445406889305534,2.61102363573752e-05,GALAXY,122.9752054957238,44.000916095977,14.14122,20.536345,20.170008
39633148241248370,0.02034934544023231,4.720333074883227e-06,GALAXY,124.277050872147,44.01501544838051,15.524459,29.62415,41.94972
39633135071137209,0.02430501504993635,1.039909418319154e-05,GALAXY,124.5267626296164,43.24387242031233,15.76095,25.167717,33.122486
39633130688088642,0.02445689648807601,1.997548054319466e-05,GALAXY,127.7593596260504,42.87799710254941,14.161857,22.558989,29.661175
39633143979838356,0.02693928288875589,2.112792711425562e-05,GALAXY,133.7628280095528,43.73863108308446,15.847133,23.158176,27.46395
39633126309236657,0.0250528883256453,2.471126143568436e-05,GALAXY,132.7670089118756,42.76547577614939,13.336224,22.776756,28.65583
39633161470085720,0.0238129960010107,3.273910831041875e-06,GALAXY,143.800836830316,44.80646947569404,14.977683,23.512321,29.544598
39633122014267502,0.01804270707352061,5.825026213776724e-05,GALAXY,145.6635870175961,42.55432045701325,15.141047,25.15055,32.57361
39633113118147283,0.02346819492153783,2.970700595019802e-06,GALAXY,151.9080655512419,42.03159606237477,14.237541,18.627756,21.239817
39633113118146921,0.02315929576572502,7.651002408238909e-06,GALAXY,151.8750373334049,41.97016179792124,14.357823,22.96674,29.00742
39633085699981331,0.01820442964973373,1.328158912147555e-05,GALAXY,145.5739468507929,40.50481954006277,14.382293,23.678385,29.55278
39633094797428050,0.02519705750268477,8.47037517041343e-06,GALAXY,139.1783723321741,40.999355288557,13.497509,20.360306,23.909187
39633085586736517,0.02698750716336696,2.36608519939192e-05,GALAXY,136.8164309011833,40.4495317696604,13.944227,21.090897,24.723463
39633071665841347,0.02438266654206902,2.832848332272525e-05,GALAXY,135.0201242389004,39.66519019649424,13.851535,23.036154,29.949627
39633062237048441,0.02767399524564452,3.78025675009288e-06,GALAXY,129.0493430081328,39.1311094474979,13.893479,18.498035,21.22818
39633085607707067,0.02775511205627793,7.090469220195035e-06,GALAXY,138.3953131143161,40.46854553827664,14.455275,16.096628,12.585758
39633062383847382,0.02726743726129026,1.181964639456653e-05,GALAXY,140.2340527475425,39.24780921556585,15.496844,22.36938,27.013746
39633048244848621,0.02783911830372503,1.935697541203458e-05,GALAXY,140.9570733650227,38.51578645329549,15.5689945,26.205421,35.328346
39627472446163760,0.02783316790557683,4.949859991751298e-05,GALAXY,316.5137719867416,-13.16118870951245,15.206344,27.831598,41.74662
39627478334969161,0.02681480285766654,9.892329455099059e-06,GALAXY,316.6217193599609,-12.96681663871343,13.229553,19.678612,25.113108
39627525667688493,0.02725471521743357,4.54273853003921e-06,GALAXY,316.6921927474365,-11.03494718347014,13.386265,15.497115,16.519415
39627531611016813,0.02714132309277683,4.672768438167815e-05,GALAXY,316.9202441353625,-10.75341107620529,13.973885,29.28268,46.394135
39627513894273731,0.01853688279358854,3.164690156938414e-05,GALAXY,322.294946626898,-11.50994491464855,14.180332,20.395609,26.989546
39627579287668028,0.02780980180398875,1.370751210982144e-06,GALAXY,316.8102475290444,-8.636661081438001,14.029225,18.405212,20.976357
39627633247388608,0.02062515891361167,2.914200369701424e-06,GALAXY,317.7976025293071,-6.455093793058458,14.620258,22.652668,29.066385
39627561461875081,0.02267597861164927,5.345358856263264e-06,GALAXY,321.7892360002134,-9.529451168812392,13.340343,22.394804,31.247288
39627561461877166,0.0226380147602387,6.279223583095218e-06,GALAXY,321.8837657629168,-9.519554315663605,14.607942,16.501348,15.2805395
39627615266408194,0.02729545048692361,1.334085778515341e-05,GALAXY,319.5197827229619,-7.271294560602607,13.840202,21.425024,29.36336
39627621272652138,0.02752711713396358,4.60705727499003e-06,GALAXY,320.0752713463712,-7.071853484476544,15.429649,33.07885,68.18371
39627639303965377,0.02762490107695553,1.086003698954799e-05,GALAXY,320.8827390669193,-6.163709899516117,13.36719,20.887741,27.482632
39627609297915768,0.02695168915965436,2.395003703473425e-05,GALAXY,321.3887042356806,-7.389039483232505,14.102376,25.032593,34.11801
39627609306302253,0.02603795085388338,1.539922926578569e-06,GALAXY,321.8109765891487,-7.521712904356331,13.316597,18.94204,23.491457
39627603321033530,0.02288520516873493,4.51373192478436e-06,GALAXY,322.5948613949359,-7.652248014448218,15.457942,23.42913,30.409353
39627723634644659,0.02659711446491694,1.437111047180852e-05,GALAXY,318.6848374623796,-2.811804094592965,14.531995,20.905035,26.628674
39627765875475045,0.01875216048515318,7.769323638619506e-07,GALAXY,316.26530472964,-0.9402635575946505,13.548215,16.504856,18.083744
39627771944642695,0.02459189224508284,1.604417244135731e-06,GALAXY,318.2325970876037,-0.7231559787928652,14.708297,17.109474,17.872135
39627705552996910,0.01910142825307002,1.875018831381381e-05,GALAXY,320.3036767925308,-3.507604509875159,13.3766575,20.178312,27.763617
39627693511148317,0.02527343206259898,1.445416235884442e-06,GALAXY,321.4762198535722,-3.958905931347401,13.683011,15.179189,13.68635
39627717640982202,0.01896195092185142,3.947315202133554e-06,GALAXY,321.3920008967214,-2.951167052039523,13.370865,16.493435,17.755285
39627693519541056,0.02594581146640615,2.012329511545076e-05,GALAXY,322.1517067032192,-4.111884164796818,15.290138,18.072262,19.223764
39627735731018194,0.02640486583179292,6.99817817934703e-06,GALAXY,319.7316528366049,-2.163747585779004,13.478759,19.634382,24.215946
39627759948924203,0.0200507671734154,4.674462852638101e-06,GALAXY,323.0312431505032,-1.199778735968918,13.082382,16.075512,18.005997
39627591400817824,0.01836284151849529,3.44468039457784e-05,GALAXY,325.9624290078299,-8.146803956958484,13.67078,24.34406,34.995716
39627633385802475,0.02281909641585294,2.333415442794901e-06,GALAXY,326.1841045482116,-6.494312744235904,13.203251,19.842196,25.064924
39627627429893185,0.02757239459749686,7.98866604444421e-06,GALAXY,329.3054256662591,-6.809804252886628,14.763947,21.30389,27.799011
39627711643126685,0.02726322558988541,5.798199738592109e-06,GALAXY,323.7950384864136,-3.312309384983646,13.313787,18.681273,22.63437
39627711647324411,0.02699051295938274,4.535768990650557e-05,GALAXY,324.190174669744,-3.264727854086827,15.688879,24.943375,33.429516
39627669481981963,0.02742025838228722,2.406177183904026e-05,GALAXY,326.2323489837854,-5.083403512226775,14.603629,22.648205,29.785927
39627687551041888,0.02764206341003242,1.206257141665771e-05,GALAXY,325.7141142548601,-4.149051347556852,15.218994,25.183329,34.42255
