targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z,tile_name,tile_ra,tile_dec
39628514269335955,0.021609859,1.760469050588241e-06,GALAXY,343.2740652991953,31.54929687418579,13.352867,16.541115,17.735561,CFIS_LSB.585.243.r,343.05210125959763,31.5
39628524566351009,0.023413948,2.333390830191788e-05,GALAXY,343.9795439363797,31.96945291497246,14.662983,28.792158,44.656036,CFIS_LSB.583.244.r,343.7305045800511,32
39628529679206018,0.022491078,6.633516358243467e-05,GALAXY,343.5677999117128,32.20055952650953,13.215311,25.892868,39.300816,CFIS_LSB.583.244.r,343.7305045800511,32
39628419440313958,0.027640314,5.467097293922061e-06,GALAXY,347.5009154766725,27.08211226122803,15.051092,23.07405,30.781391,CFIS_LSB.619.234.r,347.3599705478347,27
39628488369508416,0.023748171,2.503411307385406e-05,GALAXY,346.0692654043459,30.21906687138288,13.525998,19.44086,24.841682,CFIS_LSB.599.240.r,345.8328112445858,30
39628503993290193,0.023805109,3.922295618411707e-06,GALAXY,347.3899577987769,30.91632420002718,13.780883,23.330194,33.99982,CFIS_LSB.596.242.r,347.6567523701685,31
39628509173253531,0.022699605,4.097621600700548e-06,GALAXY,347.5337992930694,31.19537363010786,15.965923,27.067547,37.90372,CFIS_LSB.596.242.r,347.6567523701685,31
39628488419839797,0.021313513,3.014171618597057e-06,GALAXY,349.4830614804183,30.13554721643868,13.861383,19.565632,24.844639,CFIS_LSB.605.240.r,349.2969128597236,30
39628493662717223,0.026334138,4.846200242530624e-06,GALAXY,351.1017394242389,30.5683244,14.408513,22.821758,31.345247,CFIS_LSB.605.241.r,351.0791113951964,30.5
39628419553559619,0.026803457,2.832833784882229e-06,GALAXY,355.0214221518545,26.91590388725454,14.95478,21.638922,27.306877,CFIS_LSB.633.234.r,355.2162542112752,27
39628424943242263,0.025094466,1.955520093193362e-05,GALAXY,355.9612426163198,27.12827931057676,14.396481,17.314554,20.482315,CFIS_LSB.634.234.r,355.7774173300924,27
39628462213828771,0.02118543,1.021584744220871e-05,GALAXY,353.6705582716014,28.97278558395363,14.386038,20.166891,19.591764,CFIS_LSB.619.238.r,353.86808400679257,29
39637237092060961,0.023399933,8.412867930113042e-06,GALAXY,355.3820774,27.96692951,14.902249,25.226696,36.045807,CFIS_LSB.628.236.r,355.6269959163583,28
39628441003232951,0.024112038,7.791170768506266e-07,GALAXY,355.7053426550953,27.97839263583943,14.491128,17.241203,18.322063,CFIS_LSB.628.236.r,355.6269959163583,28
39628424968407338,0.027733821,9.707706898067263e-06,GALAXY,357.5873382351045,27.29478463092214,14.587074,21.245218,25.861887,CFIS_LSB.634.235.r,357.38007715663053,27.5
39628441032590725,0.022603204,7.75857826522144e-06,GALAXY,357.5556704,28.09463380957568,13.743329,19.876585,24.57336,CFIS_LSB.631.236.r,357.32585099239185,28
39628446367747123,0.022073075,1.346656954841097e-05,GALAXY,358.2263009408144,28.28055265369205,14.412279,23.446306,31.90498,CFIS_LSB.630.237.r,358.4363521,28.5
39628451694511948,0.022227612,4.564459572069342e-05,GALAXY,358.6785097939609,28.46253911696034,14.938475,30.795559,49.548874,CFIS_LSB.630.237.r,358.4363521,28.5
39628446384522956,0.027806775,2.300492350894546e-06,GALAXY,359.2558367815319,28.15328380694427,15.314154,20.598354,24.701384,CFIS_LSB.634.236.r,359.0247060684254,28
39628483327954672,0.025730083,9.415870198194677e-06,GALAXY,358.7740611780777,29.89610537065464,15.400353,22.28528,27.85062,CFIS_LSB.621.240.r,358.53451716675755,30
39628488558248099,0.024079561,5.061467865156667e-06,GALAXY,358.8513060021954,30.33311399541733,13.037132,19.518751,25.14428,CFIS_LSB.618.241.r,358.6229600698039,30.5
39627821076717760,0.018551357,1.764043941854638e-05,GALAXY,6.729487909382516,1.528222474023216,14.880858,20.157015,24.19465,No tile found,,
39627839149973761,0.018293874,2.039351614667253e-06,GALAXY,3.980268489967476,2.203879685745901,15.000263,19.55671,18.406294,No tile found,,
39627881353055135,0.027225482,1.272462042031709e-06,GALAXY,0.8389915731363865,4.080375267057802,13.759644,18.197796,20.514622,No tile found,,
39627905466114016,0.027729661,7.074016321701685e-07,GALAXY,1.248425155094789,4.966804791931997,14.968288,15.515182,15.166998,No tile found,,
39627947572724554,0.026427433,6.537943917281481e-06,GALAXY,1.303128362141843,6.756472759570161,13.358034,20.583075,27.609222,No tile found,,
39627821089294846,0.018344146,3.271196000876489e-06,GALAXY,7.320813144025623,1.513481108641471,14.179647,20.65508,26.197632,No tile found,,
39627803003454021,0.020939043,4.613739291313233e-06,GALAXY,9.26562067,0.6851822939482646,14.288772,18.621588,21.865292,No tile found,,
39627803003454021,0.02093484,2.434628611424706e-05,GALAXY,9.26562067,0.6851822939482646,14.288772,18.621588,21.865292,No tile found,,
39627796972048283,0.020477096,1.845786406021623e-06,GALAXY,9.861042438766852,0.4316627521317943,15.93279,18.237316,18.929415,No tile found,,
39627796972048855,0.020515067,1.590274030436897e-05,GALAXY,9.875460633230473,0.5754380451800302,14.755553,17.901043,19.52936,No tile found,,
39627803020235916,0.018859259,4.017674496348146e-05,GALAXY,10.38033395394128,0.7870698335079274,13.93746,22.243568,29.570486,No tile found,,
