Unnamed: 0_1,tile_1,total_count_1,N_cut_1,good_count_1,good_fraction_1,N_cut_masked_1,normalized_N_1,ra_1,dec_1,Unnamed: 0_2,tile_2,total_count_2,N_cut_2,good_count_2,good_fraction_2,N_cut_masked_2,normalized_N_2,ra_2,dec_2,Unnamed: 0,tile,total_count,N_cut,good_count,good_fraction,N_cut_masked,normalized_N,ra,dec
47,CFIS_LSB.032.254.r,35276,11310,30395,0.8616339721056809,9764,11331.958019411088,20.03417053049961,37.0,47,CFIS_LSB.032.254.r,35276,61,30395,0.8616339721056809,32,37.138739924329656,20.03417053049961,37.0,47,CFIS_LSB.032.254.r,35276,3970,30395,0.8616339721056809,3401,3947.1517025826615,20.03417053049961,37.0
48,CFIS_LSB.017.250.r,34507,10700,30944,0.8967455878517402,9652,10763.364917269908,10.376584004472376,35.0,48,CFIS_LSB.017.250.r,34507,70,30944,0.8967455878517402,37,41.26030894519131,10.376584004472376,35.0,48,CFIS_LSB.017.250.r,34507,3637,30944,0.8967455878517402,3301,3681.0886440020686,10.376584004472376,35.0
49,CFIS_LSB.584.245.r,33636,10708,30649,0.9111963372577,9879,10841.790727266794,346.2212018507749,32.5,49,CFIS_LSB.584.245.r,33636,63,30649,0.9111963372577,27,29.631374596234785,346.2212018507749,32.5,49,CFIS_LSB.584.245.r,33636,3514,30649,0.9111963372577,3230,3544.7903683643835,346.2212018507749,32.5
50,CFIS_LSB.312.289.r,39872,11877,30953,0.7763091894060995,9086,11704.099505702194,268.6399276356587,54.5,50,CFIS_LSB.312.289.r,39872,62,30953,0.7763091894060995,45,57.96659451426356,268.6399276356587,54.5,50,CFIS_LSB.312.289.r,39872,3875,30953,0.7763091894060995,2904,3740.7775659871418,268.6399276356587,54.5
51,CFIS_LSB.417.246.r,43612,11978,30460,0.6984316243235806,8496,12164.397636244255,248.60774655629504,33.0,51,CFIS_LSB.417.246.r,43612,39,30460,0.6984316243235806,27,38.658043335522,248.60774655629504,33.0,51,CFIS_LSB.417.246.r,43612,3692,30460,0.6984316243235806,2654,3799.9424819435326,248.60774655629504,33.0
52,CFIS_LSB.224.278.r,17779,8976,5761,0.3240339726643793,2494,7696.723832667939,170.7163457110512,49.0,52,CFIS_LSB.224.278.r,17779,38,5761,0.3240339726643793,7,21.602673147023086,170.7163457110512,49.0,52,CFIS_LSB.224.278.r,17779,4139,5761,0.3240339726643793,901,2780.572643638257,170.7163457110512,49.0
53,CFIS_LSB.158.326.r,22646,10069,13014,0.5746710235803232,5892,10252.822498847396,270.2039859668282,73.0,53,CFIS_LSB.158.326.r,22646,48,13014,0.5746710235803232,15,26.10189027201476,270.2039859668282,73.0,53,CFIS_LSB.158.326.r,22646,4231,13014,0.5746710235803232,2328,4051.01337021669,270.2039859668282,73.0
54,CFIS_LSB.147.287.r,40637,9796,29317,0.7214361296355538,7109,9853.956168775796,123.56621440383016,53.5,54,CFIS_LSB.147.287.r,40637,54,29317,0.7214361296355538,30,41.583722754715694,123.56621440383016,53.5,54,CFIS_LSB.147.287.r,40637,3024,29317,0.7214361296355538,2194,3041.156257461541,123.56621440383016,53.5
55,CFIS_LSB.332.263.r,33834,13406,30220,0.8931843707513153,11966,13397.010059563205,221.64194142895929,41.5,55,CFIS_LSB.332.263.r,33834,36,30220,0.8931843707513153,29,32.46810059563203,221.64194142895929,41.5,55,CFIS_LSB.332.263.r,33834,4253,30220,0.8931843707513153,3779,4230.929384513567,221.64194142895929,41.5
56,CFIS_LSB.167.323.r,30088,13069,28475,0.9463905876096784,12382,13083.39301141352,263.1540329285253,71.5,56,CFIS_LSB.167.323.r,30088,70,28475,0.9463905876096784,48,50.71901668129939,263.1540329285253,71.5,56,CFIS_LSB.167.323.r,30088,4805,28475,0.9463905876096784,4535,4791.890430201931,263.1540329285253,71.5
57,CFIS_LSB.332.244.r,40086,12775,30983,0.772913236541436,9919,12833.264499887036,195.743614958108,32.0,57,CFIS_LSB.332.244.r,40086,45,30983,0.772913236541436,36,46.577026111093176,195.743614958108,32.0,57,CFIS_LSB.332.244.r,40086,3947,30983,0.772913236541436,3093,4001.7428267114224,195.743614958108,32.0
58,CFIS_LSB.656.190.r,21273,6418,647,0.0304141399896582,215,7069.080370942814,329.25290671421794,5.0,58,CFIS_LSB.656.190.r,21273,57,647,0.0304141399896582,0,0.0,329.25290671421794,5.0,58,CFIS_LSB.656.190.r,21273,2917,647,0.0304141399896582,108,3550.979907264297,329.25290671421794,5.0
59,CFIS_LSB.247.259.r,33332,12820,28889,0.8667046681867274,11097,12803.669355117863,160.05192506670653,39.5,59,CFIS_LSB.247.259.r,33332,51,28889,0.8667046681867274,34,39.22904911904185,160.05192506670653,39.5,59,CFIS_LSB.247.259.r,33332,4381,28889,0.8667046681867274,3722,4294.427082972758,160.05192506670653,39.5
